Growing trees.. Progress: 56%. Estimated remaining time: 6 minutes, 57 seconds.
Growing trees.. Progress: 60%. Estimated remaining time: 6 minutes, 18 seconds.
Growing trees.. Progress: 63%. Estimated remaining time: 5 minutes, 48 seconds.
Growing trees.. Progress: 67%. Estimated remaining time: 5 minutes, 9 seconds.
Growing trees.. Progress: 71%. Estimated remaining time: 4 minutes, 39 seconds.
Growing trees.. Progress: 74%. Estimated remaining time: 4 minutes, 1 seconds.
Growing trees.. Progress: 78%. Estimated remaining time: 3 minutes, 30 seconds.
Growing trees.. Progress: 81%. Estimated remaining time: 2 minutes, 55 seconds.
Growing trees.. Progress: 85%. Estimated remaining time: 2 minutes, 23 seconds.
Growing trees.. Progress: 88%. Estimated remaining time: 1 minute, 51 seconds.
Growing trees.. Progress: 92%. Estimated remaining time: 1 minute, 17 seconds.
Growing trees.. Progress: 95%. Estimated remaining time: 45 seconds.
Growing trees.. Progress: 99%. Estimated remaining time: 13 seconds.
Growing trees.. Progress: 3%. Estimated remaining time: 15 minutes, 37 seconds.
Growing trees.. Progress: 6%. Estimated remaining time: 15 minutes, 6 seconds.
Growing trees.. Progress: 10%. Estimated remaining time: 15 minutes, 2 seconds.
Growing trees.. Progress: 13%. Estimated remaining time: 14 minutes, 14 seconds.
Growing trees.. Progress: 17%. Estimated remaining time: 13 minutes, 17 seconds.
Growing trees.. Progress: 20%. Estimated remaining time: 13 minutes, 2 seconds.
Growing trees.. Progress: 24%. Estimated remaining time: 12 minutes, 21 seconds.
Growing trees.. Progress: 27%. Estimated remaining time: 11 minutes, 50 seconds.
Growing trees.. Progress: 30%. Estimated remaining time: 11 minutes, 12 seconds.
Growing trees.. Progress: 34%. Estimated remaining time: 10 minutes, 40 seconds.
Growing trees.. Progress: 37%. Estimated remaining time: 10 minutes, 12 seconds.
Growing trees.. Progress: 40%. Estimated remaining time: 9 minutes, 41 seconds.
Growing trees.. Progress: 44%. Estimated remaining time: 9 minutes, 1 seconds.
Growing trees.. Progress: 47%. Estimated remaining time: 8 minutes, 31 seconds.
Growing trees.. Progress: 50%. Estimated remaining time: 7 minutes, 57 seconds.
Growing trees.. Progress: 54%. Estimated remaining time: 7 minutes, 26 seconds.
Growing trees.. Progress: 57%. Estimated remaining time: 6 minutes, 55 seconds.
Growing trees.. Progress: 60%. Estimated remaining time: 6 minutes, 22 seconds.
Growing trees.. Progress: 64%. Estimated remaining time: 5 minutes, 48 seconds.
