SALES_SUM,THIRD,PRODUCT_GROUP,PRODUCER
1.23,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.75,2,ÕLU,SAKU ÕLLETEHAS
0.75,2,PAGARITOOTED,FAZER EESTI AS
0.79,2,PAGARITOOTED,KARJA PAGARIÄRI
1.59,3,TÖÖDELDUD KALATOOTED,BALTIC FOOD PARTNERS UAB
0.65,1,PIIMATOOTED,VALIO EESTI AS
1.82,2,VÄRSKE PUUVILI,PANAMA
2.45,1,TÖÖDELDUD KALATOOTED,MAKVELA
1.09,2,MUNAD,EESTI
0.89,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.65,3,PAGARITOOTED,LEIBUR AS
4.25,1,KOHV,MEIRA
0.7,1,"KÜPSISED, VAHVLID",ADUGS SIA LÄTI
1.39,4,KUIV.PUUV. JA PÄHKLID,GERMUND
5.19,3,KANGE ALKOHOL,LIVIKO
0.97,1,VÄRSKE LIHA,TALLEGG AS
2.09,2,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
3.95,2,ÕLU,SAKU ÕLLETEHAS
0.79,3,PAGARITOOTED,EESTI PAGAR
2.05,1,HÜGIEENITOOTED,HENKEL
1.89,2,KOMMID,TAANI
1.05,3,KARASTUS-JA TONISEERIVAD JOOGID,ALDARIS AS
0.99,1,MUNAD,EESTI
5.85,3,KONDIITRITOOTED,HALLIK AS
2.1,1,KÜLMUTATUD LIHA JA LIND,TALLEGG AS
2.9,2,KARASTUS-JA TONISEERIVAD JOOGID,DIS B.V
0.64,2,PAGARITOOTED,FAZER EESTI AS
0.65,1,PAGARITOOTED,EESTI PAGAR
8.43,3,VÄRSKE LIHA,TALLEGG AS
1.85,4,KÜLMAD KASTMED,POLVEN FOODS OÜ
1.18,3,PIIMATOOTED,EESTI
1.45,3,VÄRSKE KÖÖGIVILI,NA
1.5,3,PIIMATOOTED,TERE AS
1.85,2,KÜLMUT.KÖÖGIVILI,FARM FRITES
0.32,1,JÄÄTIS,EESTI
2.45,2,KONDIITRITOOTED,LÕUNA PAGARID
1.55,3,KARASTUS-JA TONISEERIVAD JOOGID,COCA-COLA HBC
1.75,2,KOMMID,KALEV
1.15,2,"SINK, VORST",ATRIA EESTI AS
0.69,2,PAGARITOOTED,EESTI
0.63,4,VÄRSKE KÖÖGIVILI,HISPAANIA
0.69,1,PAGARITOOTED,LEIBUR AS
1.69,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.79,2,PASTA,DOBELES DZIRNAVIEKS AS
2.8,3,TUBAKATOOTED,IMPERIAL TOBACCO
1.84,3,ÕLU,A. LE COQ
3.3,3,LEMMIKLOOMATOIDUD,MARS
0.65,3,ÐOKOLAADID,FAZER CONFECTINERY
1.39,1,"SINK, VORST",ATRIA EESTI AS
0.92,3,VESI,A. LE COQ
1.09,2,ÐOKOLAADID,LEAF
1.09,3,JOGURT,FARMI PIIMATÖÖSTUS AS
1.15,2,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.69,3,"SINK, VORST",ATRIA EESTI AS
0.75,3,VALMISTOIT,MAKSIKÖÖK
2.58,1,"VALGUSTID, VALGUSELEMENDID",PHILIPS
2.79,2,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
1.99,1,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
1.23,2,VALMISTOIT,NARVA KONSUMI KÖÖK
0.54,1,PIIM,FARMI PIIMATÖÖSTUS AS
0.49,4,PAGARITOOTED,LEIBUR AS
0.63,3,SUUVÄRSKENDAJAD,LEAF
0.45,3,KONDIITRITOOTED,FRITO-LAY POLAND
0.75,2,PAGARITOOTED,EUROLEIB AS
1.09,1,KOMMID,LAIMA
0.72,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
1.49,3,VALMISTOIT,OSKAR LT AS
0.67,1,KÖÖGIVILJAKONSERV,UNGARI
0.59,2,PIIM,FARMI PIIMATÖÖSTUS AS
0.24,2,VÄRSKE KÖÖGIVILI,EESTI
1.77,2,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
1.89,1,JOGURT,VALIO EESTI AS
0.48,3,VÄRSKE KÖÖGIVILI,EESTI
1.69,2,PIIMATOOTED,VALIO EESTI AS
1.3,3,PIIM,FARMI PIIMATÖÖSTUS AS
1.85,3,KONDIITRITOOTED,EESTI LEIVATÖÖSTUS
0.98,2,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
0.35,1,PIIMATOOTED,TERE AS
5.79,2,JUUSTUD,E-PIIM TOOTMINE AS
1.35,2,KOMMID,FAZER CONFECTINERY
0.52,3,KOMMID,SAKSAMAA
0.99,3,MUNAD,EESTI
0.55,1,VÄRSKE LIHA,VALGA LIHATSEHH
6.44,1,KOHV,NESTLE
0.85,1,JÄÄTIS,INGMAN LEDAI
2.49,3,JUUSTUD,EESTI
0.32,1,MAHL,A. LE COQ
1.99,1,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.49,3,PAGARITOOTED,EESTI PAGAR
0.39,2,LEMMIKLOOMATOIDUD,NESTLE
2.04,2,KOSMEETIKA,HENKEL
2.29,3,ÐOKOLAADID,KALEV
4.99,2,KANGE ALKOHOL,LIVIKO
0.59,3,PIIM,TERE AS
0.77,3,VÄRSKE PUUVILI,ITAALIA
0.75,2,PIIMATOOTED,ESTOVER PIIMATÖÖSTUS
2.79,2,ÕLU,ALDARIS AS
1.85,3,VALMISTOIT,NÕO LIHATÖÖSTUS AS
0.44,3,TUBAKATOOTED,HIINA
0.99,2,KÜLMUTATUD LIHA JA LIND,UVIC
0.79,1,PAGARITOOTED,LEIBUR AS
3.3,3,TUBAKATOOTED,PHILIP MORRIS
0.15,3,MAITSEAINED,ANATOLS
1.14,3,PIIMATOOTED,EESTI
0.65,3,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
0.59,2,TEE,SAKSAMAA
1.79,2,KODUKAUBAD,GEORGIA PACIFIC
0.31,2,VÄRSKE KÖÖGIVILI,HISPAANIA
1.06,1,VÄRSKE KÖÖGIVILI,EESTI
5.13,3,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
1.7,2,JUUSTUD,VALIO EESTI AS
1.6,2,MAHL,A. LE COQ
1.08,3,VALMISTOIT,ATRIA EESTI AS
1.09,2,JOGURT,VALIO EESTI AS
0.92,1,KARTUL,EESTI
4.79,1,JUUSTUD,VALIO EESTI AS
0.95,2,KÖÖGIVILJAKONSERV,ALIMENCO
1.47,3,VÄRSKE PUUVILI,PANAMA
0.78,2,PIIMATOOTED,TERE AS
0.37,3,PIIMATOOTED,LÄTI
1.09,3,MAHL,PÕLTSAMAA FELIX AS
0.77,2,PAGARITOOTED,EESTI PAGAR
4.99,3,KODUKEEMIA,RECKITT BENCKISER
0.69,2,PIIMATOOTED,TERE AS
2.9,1,"SINK, VORST",SAAREMAA LIHATÖÖSTUS OÜ
2.59,1,KOHV,GUSTAV PAULIG LDT
0.81,1,MAITSEAINED,ANATOLS
1.29,1,KOMMID,KALEV
1.56,1,PÕHIROA KONTSENTRAADID,OOO MAREVEN FOOD
1.19,2,KODUKEEMIA,DRAMERS SA
1.55,3,JUUSTUD,SAAREMAA PT
1.59,1,PASTA,POOLA
0.49,3,VÄRSKE KÖÖGIVILI,HISPAANIA
1.05,3,VÄRSKE KÖÖGIVILI,PERUU
1.39,1,PIIM,TERE AS
0.7,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
2.3,2,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
1.59,1,MAHL,LARGO AS
4.5,2,MEESTE JALATSID,TÜRGI
6.05,4,LAHJAD ALKOH.JOOGID,SAKU ÕLLETEHAS
0.99,2,JOGURT,DANONE
4.3,3,LEMMIKLOOMATOIDUD,SATURN PETFOOD GMBH
1.45,3,VÄRSKE LIHA,ATRIA EESTI AS
1.98,3,VESI,VERSKA MINERAALVEE OÜ
0.89,2,"VÕI, MARGARIIN, VÕIDED",EESTI
0.76,3,VÄRSKE KÖÖGIVILI,EESTI
2.32,1,VALMISTOIT,OSKAR LT AS
0.59,3,KUIVAINED,DOBELES DZIRNAVIEKS AS
2.89,1,KANGE ALKOHOL,LIVIKO
1.35,3,JOGURT,TERE AS
8.99,3,KANGE ALKOHOL,MAST JÄGERMEISTER AG
0.49,1,PAGARITOOTED,EESTI PAGAR
1.8,1,KÖÖGIVILJAKONSERV,PÕLTSAMAA FELIX AS
1.72,1,VÄRSKE LIHA,ATRIA EESTI AS
0.8,3,KONDIITRITOOTED,EUROLEIB AS
3.52,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
1.95,1,"KÜPSISED, VAHVLID",GÖTEBORGS KEX AB
0.58,2,KÜLMUTATUD LIHA JA LIND,RAKVERE LIHAKOMBINAAT AS
1.06,3,MAHL,PÕLTSAMAA FELIX AS
1.25,1,VALMISTOIT,TALLEGG AS
1.75,3,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
3.25,2,KOHV,MEIRA
0.89,2,PIIMATOOTED,LÄTI
1.09,2,PIIM,TERE AS
4.89,1,ÕLU,SAKU ÕLLETEHAS
0.79,1,VÄRSKE KÖÖGIVILI,NA
0.57,3,PIIMATOOTED,EESTI
1.79,2,ÕLU,JSC SVYTURYS-UTENOS ALUS
1.89,2,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
1.15,3,PIIMATOOTED,TERE AS
1.26,1,KODUKAUBAD,EUROOPA LIIT
0.45,1,VÄRSKE KÖÖGIVILI,EESTI
3.5,3,TUBAKATOOTED,PHILIP MORRIS
1.05,1,JOGURT,SAAREMAA DELIFOOD OÜ
0.55,3,PAGARITOOTED,EESTI PAGAR
0.85,3,PIIM,TERE AS
2.55,3,KALAKONSERVID,LÄTI
3.79,2,VEIN,RETHRA KELLEREI GMBH
0.9,2,PAGARITOOTED,EESTI PAGAR
0.63,2,VÄRSKE PUUVILI,ECUADOR
0.59,3,PIIM,FARMI PIIMATÖÖSTUS AS
1.29,3,VALMISTA ISE,DOBELES DZIRNAVIEKS AS
1.05,3,"VÕI, MARGARIIN, VÕIDED",UNILEVER
0.44,3,JÄÄTIS,EESTI
0.59,1,PAGARITOOTED,LEIBUR AS
0.45,1,PIIMATOOTED,VALIO EESTI AS
0.99,2,KÜLMUT.KÖÖGIVILI,DAUCY
2.15,2,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
1.88,2,JÄÄTIS,PREMIA TALLINNA KÜLMHOONE AS
1.69,2,AUTOKAUBAD,MAYERI INDUSTRIES AS
0.39,4,VÄRSKE KÖÖGIVILI,NA
2.75,4,"SINK, VORST",ELPOZO ALIMENTICOS S.A.
0.5,1,ÐOKOLAADID,NESTLE BULGARIA A.D.
1.83,3,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
0.53,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.55,3,LEMMIKLOOMATOIDUD,PRIMA PET PREMUM OY
2.5,2,LAHJAD ALKOH.JOOGID,A. LE COQ
1.89,3,"SINK, VORST",ATRIA EESTI AS
1.95,1,TÖÖDELDUD KALATOOTED,VIRU RAND OÜ
4.29,3,"PESEMIS-, KORISTUS-, KUIVATAMIS-, MAJAPIDAMISTARBED",FHP
1.31,1,"SINK, VORST",NÕO LIHATÖÖSTUS AS
2.04,1,ÐOKOLAADID,ITAALIA
0.55,2,VALMISTOIT,MAKSIKÖÖK
1.35,1,JUUSTUD,FARMI PIIMATÖÖSTUS AS
5.3,1,LAHJAD ALKOH.JOOGID,A. LE COQ
0.99,1,KODUKAUBAD,ROOTSI
1.35,2,KOMMID,KALEV
3.3,3,VALMISTA ISE,KALEV
6.125,1,ÐOKOLAADID,KALEV
2.09,1,HOMMIKUSÖÖGID,NESTLE
0.92,3,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
1.8,1,KONDIITRITOOTED,EESTI
1.39,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.69,1,MAITSEAINED,SANTA MARIA AS
2.05,2,VÄRSKE LIHA,ANIMEX
0.32,1,MAHL,A. LE COQ
0.54,2,PIIM,FARMI PIIMATÖÖSTUS AS
0.67,3,PIIMATOOTED,VALIO EESTI AS
1.05,2,ÕLU,A. LE COQ
0.99,2,PIIM,TERE AS
0.06,1,PABERIKAUP,EESTI
6.4,3,TUBAKATOOTED,PHILIP MORRIS
1.44,2,ÐOKOLAADID,FAZER CONFECTINERY
0.59,1,PAGARITOOTED,EESTI PAGAR
1.98,1,VÄRSKE LIHA,LEEDU
1.09,1,LEMMIKLOOMATOIDUD,EUROOPA LIIT
0.59,3,PAGARITOOTED,EESTI PAGAR
0.99,2,KÜLMUT.KÖÖGIVILI,POLSKI OGROD
2.79,1,KOMMID,KALEV
1.85,2,VALMISTOIT,TALLEGG AS
0.78,1,KONDIITRITOOTED,ERLANDIA
0.68,1,PAGARITOOTED,EESTI PAGAR
3.59,2,"SINK, VORST",ATRIA EESTI AS
0.95,3,PIIM,FARMI PIIMATÖÖSTUS AS
1.39,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.48,3,KOMMID,LEAF
1.19,3,KONDIITRITOOTED,EUROPAGAR OÜ
0.59,2,KALA POOLTOOTED,KRISKAL AS
4.4,2,HÜGIEENITOOTED,JOHNSON&JOHNSON
1.42,1,VALMISTOIT,3WAY GROUP
4.12,2,LASTETOIDUD,POOLA
0.65,1,ÐOKOLAADID,FERRERO
0.73,2,KÜLMUTATUD LIHA JA LIND,SAAREMAA LIHATÖÖSTUS OÜ
0.55,3,KUIVAINED,EUROOPA LIIT
5.58,4,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
0.65,3,KRÕPSUD,BALSNACK
1.29,2,"VÕI, MARGARIIN, VÕIDED",UNILEVER
5.5,3,TUBAKATOOTED,PHILIP MORRIS
0.44,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.18,3,VÄRSKE KÖÖGIVILI,LEEDU
1.46,3,VÄRSKE KÖÖGIVILI,MAROKO
6.29,1,KODUKEEMIA,RECKITT BENCKISER
2.69,1,JUUSTUD,VALIO EESTI AS
1.75,1,"VÕI, MARGARIIN, VÕIDED",SAAREMAA PT
1.59,3,PAGARITOOTED,NEIO
0.73,4,PAGARITOOTED,EESTI PAGAR
0.69,3,VÄRSKE KÖÖGIVILI,NA
1.1,2,VÄRSKE KÖÖGIVILI,NA
1.49,2,KRÕPSUD,FRITO-LAY POLAND
1.05,3,TÖÖDELDUD KALATOOTED,KÕRVEKÜLA KALATÖÖSTUSE AS
1.46,3,"SINK, VORST",SAAREMAA LIHATÖÖSTUS OÜ
0.96,3,VÄRSKE KÖÖGIVILI,EESTI
0.78,3,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
0.99,2,VALMISTOIT,RANNAROOTSI LIHATÖÖSTUS
1.99,2,KUIV.PUUV. JA PÄHKLID,VIETNAM
2.79,3,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
0.31,2,TUBAKATOOTED,HIINA
0.49,3,PAGARITOOTED,EESTI PAGAR
0.79,2,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
2.39,3,KOSMEETIKA,LOREAL
1.15,2,LASTETOIDUD,UNGARI
0.75,3,PAGARITOOTED,EESTI LEIVATÖÖSTUS
2.25,3,VÄRSKE PUUVILI,HISPAANIA
1.95,2,VALMISTOIT,SAAREMAA LIHATÖÖSTUS OÜ
0.95,1,PIIM,FARMI PIIMATÖÖSTUS AS
0.27,1,VÄRSKE KÖÖGIVILI,HOLLAND
0.29,3,KRÕPSUD,BALSNACK
0.97,2,LEMMIKLOOMATOIDUD,SATURN PETFOOD GMBH
0.99,1,VALMISTOIT,RANNAROOTSI LIHATÖÖSTUS
0.44,3,VÄRSKE PUUVILI,PANAMA
1.75,1,KALA POOLTOOTED,LEEDU
0.79,3,PIIM,FARMI PIIMATÖÖSTUS AS
3.59,3,KODUKAUBAD,HORIZON TISSUE OÜ
1.29,3,RIIS,DOBELES DZIRNAVIEKS AS
0.95,2,KALAKONSERVID,ÖSEL FISH OÜ
0.55,1,SUUVÄRSKENDAJAD,KRAFT FOODS
2.35,3,KUIV.PUUV. JA PÄHKLID,LEEDU
2.1,2,KONDIITRITOOTED,PÄRNAMÄED
0.79,3,PAGARITOOTED,FAZER EESTI AS
1.09,3,KOMMID,LAIMA
2.59,3,HÜGIEENITOOTED,PROCTER&GAMBLE
0.85,2,PIIM,TERE AS
2.4,2,VÄRSKE LIHA,NÕO LIHATÖÖSTUS AS
1.75,3,KRÕPSUD,LATFOOD
0.39,3,PAGARITOOTED,EESTI PAGAR
0.99,2,PAGARITOOTED,FAZER EESTI AS
0.69,1,PAGARITOOTED,LEIBUR AS
13.35,1,JUUSTUD,ESTOVER PIIMATÖÖSTUS
1.63,1,TÖÖDELDUD KALATOOTED,LEEDU
1.29,3,PAGARITOOTED,EESTI LEIVATÖÖSTUS
0.59,4,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
0.79,2,PASTA,DOBELES DZIRNAVIEKS AS
0.59,1,KÜLMAD KASTMED,POOLA
1.16,3,PIIM,FARMI PIIMATÖÖSTUS AS
2.09,4,KOSMEETIKA,HENKEL
3.09,2,KOSMEETIKA,PROCTER&GAMBLE
2.29,2,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
2.79,3,KOSMEETIKA,BEIERSDORF AG
12.9,2,VEIN,R.E.N CLM-96/CR
0.59,3,PAGARITOOTED,EESTI PAGAR
1.99,1,KODUKEEMIA,RECKITT BENCKISER
1.19,2,JOGURT,VALIO EESTI AS
0.85,3,PIIM,TERE AS
1.85,3,KUIV.PUUV. JA PÄHKLID,ALIS CO SIA
1.66,1,PIIM,TERE AS
0.99,2,VÄRSKE KÖÖGIVILI,NA
0.85,1,MUNAD,EESTI
0.75,4,PIIMATOOTED,TERE AS
1.5,1,MAHL,PÕLTSAMAA FELIX AS
2.29,1,"SUPID, PULJONGID, KASTMED",SALVEST AS
0.08,1,VÄRSKE KÖÖGIVILI,LEEDU
0.99,1,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
3.5,1,TUBAKATOOTED,PHILIP MORRIS
1.69,2,"VÕI, MARGARIIN, VÕIDED",SAAREMAA PT
0.99,3,MUNAD,EESTI
2.55,3,MAGUSAD HOIDISED,PÕLTSAMAA FELIX AS
1.15,2,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
1.79,2,KOMMID,KALEV
0.65,1,PAGARITOOTED,EESTI PAGAR
0.5,1,TUBAKATOOTED,HANSACANDLE
0.37,2,MAITSEAINED,VALGEVENE
0.65,1,VÄRSKE LIHA,VALGA LIHATSEHH
0.67,2,KUIV.PUUV. JA PÄHKLID,RHUMVELD BALTIC OÜ
3.98,1,KONDIITRITOOTED,LEIBUR AS
1.09,3,JOGURT,VALIO EESTI AS
0.52,3,MAITSEAINED,HISPAANIA
3.3,3,TUBAKATOOTED,PHILIP MORRIS
2.39,1,PAGARITOOTED,EESTI PAGAR
0.49,1,PAGARITOOTED,EESTI PAGAR
0.66,1,MAITSEAINED,SANTA MARIA AS
0.89,2,PAGARITOOTED,EESTI PAGAR
0.99,4,PIIM,VALIO EESTI AS
2.37,1,"SINK, VORST",NÕO LIHATÖÖSTUS AS
1.09,3,JOGURT,FARMI PIIMATÖÖSTUS AS
0.97,1,"SINK, VORST",ATRIA EESTI AS
4.49,1,JUUSTUD,E-PIIM TOOTMINE AS
0.49,3,MAITSEAINED,MEIRA
1.75,1,"SINK, VORST",OSKAR LT AS
1,2,"KALENDRID, PERIOODIKA",EESTI LOTO
0.43,3,"KÜPSISED, VAHVLID",ADUGS SIA LÄTI
0.39,1,VÄRSKE KÖÖGIVILI,NA
1.25,3,TÖÖDELDUD KALATOOTED,EUROOPA LIIT
0.75,3,PAGARITOOTED,FAZER EESTI AS
0.58,3,PIIM,FARMI PIIMATÖÖSTUS AS
5.09,3,DEKORATIIVKOSMEETIKA,BELL PPHU
0.74,3,VALMISTOIT,MAKSIKÖÖK
0.48,3,SUUVÄRSKENDAJAD,WRIGLEY
0.75,3,PAGARITOOTED,EESTI PAGAR
0.65,3,JUUSTUD,VIGALA PIIMATÖÖSTUS OÜ
4.49,1,JUUSTUD,E-PIIM TOOTMINE AS
0.99,1,"VALGUSTID, VALGUSELEMENDID",ELECTRO CIRKEL B.V
0.59,3,PIIM,TERE AS
1.88,3,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
0.52,2,VÄRSKE PUUVILI,POOLA
2.95,1,"SINK, VORST",SAAREMAA LIHATÖÖSTUS OÜ
1.69,2,JOGURT,DANONE
1.36,1,MAITSEAINED,ANATOLS
0.49,3,PAGARITOOTED,EESTI PAGAR
1.05,1,KUIV.PUUV. JA PÄHKLID,TSIILI
0.903,1,VÄRSKE KÖÖGIVILI,NA
0.49,2,PAGARITOOTED,LEIBUR AS
1.15,3,VALMISTOIT,RANNAROOTSI LIHATÖÖSTUS
1.45,3,VÄRSKE KÖÖGIVILI,NA
1.75,2,VÄRSKE KÖÖGIVILI,MAROKO
2.38,2,KODUKAUBAD,EUROOPA LIIT
1.38,2,PAGARITOOTED,EESTI
1.92,3,VALMISTOIT,ATRIA EESTI AS
2.09,2,VÄRSKE LIHA,RAKVERE LIHAKOMBINAAT AS
1.45,2,VÄRSKE KÖÖGIVILI,NA
0.35,1,MAITSEAINED,VALGEVENE
0.85,1,PIIM,TERE AS
1.49,1,"VÕI, MARGARIIN, VÕIDED",TERE AS
2.75,2,TUBAKATOOTED,PHILIP MORRIS
0.9,1,JÄÄTIS,BALBIINO AS
0.89,2,KOMMID,KALEV
1.09,1,JOGURT,SAAREMAA DELIFOOD OÜ
0.45,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
1.19,1,KALAKONSERVID,LÄTI
0.54,3,PIIM,FARMI PIIMATÖÖSTUS AS
0.55,1,PIIM,TERE AS
0.95,2,"VÕI, MARGARIIN, VÕIDED",TERE AS
0.05,3,TUBAKATOOTED,EUROOPA LIIT
4.29,1,KOHV,MEIRA
0.69,3,PIIMATOOTED,TERE AS
0.65,2,PIIM,FARMI PIIMATÖÖSTUS AS
0.79,3,PAGARITOOTED,EESTI LEIVATÖÖSTUS
1.09,2,KOMMID,LEEDU
0.38,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
8.76,2,"SINK, VORST",ARKE LIHATÖÖSTUS
0.69,3,PAGARITOOTED,EESTI PAGAR
5.59,1,KANGE ALKOHOL,LIVIKO
3,1,PIIMATOOTED,TERE AS
1.19,2,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
2.39,3,KRÕPSUD,FRITO-LAY POLAND
1.96,3,"ÕMBLUSTARVIKUD, KÄSITÖÖVAHENDID",COATS GMBH
0.52,3,ÐOKOLAADID,MARS
0.79,2,PIIM,FARMI PIIMATÖÖSTUS AS
2.19,3,KÜPSETUSRASVAD,SCANOLA BALTIC
4.76,2,ÕLU,CERVECERIA CUAUHTEMOC MOCTEZUMA
0.95,2,LAHJAD ALKOH.JOOGID,SAKU ÕLLETEHAS
0.76,1,KODUKAUBAD,EUROOPA LIIT
6.09,4,ÕLU,A. LE COQ
4.77,3,TÖÖDELDUD KALATOOTED,LEEDU
2.29,3,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
2.87,2,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
1.12,3,VÄRSKE KÖÖGIVILI,LEEDU
0.69,2,"SINK, VORST",ATRIA EESTI AS
0.99,2,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
15.3,1,KOHV,VIKING COFFEE
1.5,2,TÖÖDELDUD KALATOOTED,LEEDU
1.05,2,JOGURT,VALIO EESTI AS
1.9,1,KONDIITRITOOTED,EESTI PAGAR
0.75,3,PAGARITOOTED,FAZER EESTI AS
2.69,3,"LAUAKAUNISTAMISVAHENDID, DEKORATIIVNÕUD, -VAHENDID JA KINGITUSED",HOLLAND
1.25,3,JAHUTUST VAJAVAD MAHLAD JA MAHLAJOOGID,PÕLTSAMAA FELIX AS
1.49,2,LEMMIKLOOMATOIDUD,ZAKLAD PRZETWORSTWA ROLNICZEGO SP.Z O.O.
1.58,3,JOGURT,FARMI PIIMATÖÖSTUS AS
1.47,2,KRÕPSUD,BALSNACK
1.24,1,VÄRSKE KÖÖGIVILI,HISPAANIA
0.95,3,LAHJAD ALKOH.JOOGID,SAKU ÕLLETEHAS
0.52,1,PAGARITOOTED,EESTI
1.39,3,"SINK, VORST",ATRIA EESTI AS
0.85,2,LAHJAD ALKOH.JOOGID,VIRU ÕLU
0.79,3,VALMISTOIT,MAKSIKÖÖK
3.35,3,KOHV,GUSTAV PAULIG LDT
0.55,3,ÐOKOLAADID,NESTLE
1.99,3,KÜLMUT.KÖÖGIVILI,AVIKO
2.7,1,TUBAKATOOTED,IMPERIAL TOBACCO
3.39,1,KÖÖGIVILJAKONSERV,KONSTANTOPOULOS S.A.
0.68,2,HOMMIKUSÖÖGID,EESTI
1.45,2,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
1.7,3,VÄRSKE PUUVILI,HISPAANIA
1.2,1,"SINK, VORST",ARKE LIHATÖÖSTUS
3.1,3,KÜLMUTATUD LIHA JA LIND,SAAREMAA LIHATÖÖSTUS OÜ
1.49,1,TÖÖDELDUD KALATOOTED,POSEIDON FOODS AS
0.85,1,PAGARITOOTED,LEIBUR AS
0.63,3,PAGARITOOTED,LEIBUR AS
1.55,3,KARASTUS-JA TONISEERIVAD JOOGID,COCA-COLA HBC
3.35,1,ÕLU,HEINEKEN BROUWERIJEN B.V
4.19,3,TEE,UNILEVER
1.65,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
1.15,1,MAHL,SURPRISE DRINKS A.S
0.77,4,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
1.03,2,LIHAKONSERVID,LÄTI
0.42,2,PAGARITOOTED,LEIBUR AS
1.35,1,KARASTUS-JA TONISEERIVAD JOOGID,RAGUTIS UAB
2.85,3,KODUKAUBAD,HORIZON TISSUE OÜ
0.8,1,KARASTUS-JA TONISEERIVAD JOOGID,TALLINNA KARASTUSJOOGID AS
0.59,3,KALAKONSERVID,LÄTI
0.96,3,PAGARITOOTED,EESTI PAGAR
0.55,1,VESI,A. LE COQ
1.05,1,SUUVÄRSKENDAJAD,WRIGLEY
2.428,1,VÄRSKE LIHA,LEEDU
1.85,3,LASTETOIDUD,UNGARI
0.89,3,KALA POOLTOOTED,LEEDU
0.99,1,KARASTUS-JA TONISEERIVAD JOOGID,A. LE COQ
2.49,1,KOMMID,FAZER CONFECTINERY
2.19,1,PIIMATOOTED,TERE AS
0.54,3,PIIM,FARMI PIIMATÖÖSTUS AS
4.79,1,JUUSTUD,VALIO EESTI AS
0.49,3,VESI,SAARE FOODS
0.79,4,PAGARITOOTED,FAZER EESTI AS
0.83,3,PIIM,TERE AS
1.05,2,KRÕPSUD,GUDOBELE UAB
0.4,2,PAGARITOOTED,EESTI PAGAR
0.35,1,VÄRSKE PUUVILI,PANAMA
4.99,3,JUUSTUD,VALIO OY
0.79,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
1.82,2,VÄRSKE LIHA,TALLEGG AS
0.67,1,MAITSEAINED,SFINX-E
0.29,1,PASTA,EUROOPA LIIT
1.35,2,KOMMID,KALEV
2.49,3,KONDIITRITOOTED,RONDO
6.99,3,KONDIITRITOOTED,EESTI PAGAR
4.07,2,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
3.58,2,NAISTE SUKATOOTED,SAKSAMAA
1.29,2,PIIM,VALIO EESTI AS
3.8,2,KOSMEETIKA,HENKEL
0.69,3,PAGARITOOTED,LEIBUR AS
