SALES_SUM,THIRD,PRODUCT_GROUP,PRODUCER
0.47,1,PAGARITOOTED,EESTI
2.99,2,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.72,2,PAGARITOOTED,LEIBUR AS
1.24,3,PIIM,TERE AS
1.59,3,KÜLMAD KASTMED,PÕLTSAMAA FELIX AS
1.66,3,TERVISETOOTED,TESKATEL
5.2,2,KARASTUS-JA TONISEERIVAD JOOGID,LATVIJAS BALZAMS
1.12,1,VÄRSKE PUUVILI,PANAMA
1.81,1,VALMISTOIT,KAUBAMAJA KÖÖK
1.78,2,TÖÖDELDUD KALATOOTED,KÕRVEKÜLA KALATÖÖSTUSE AS
0.89,2,VALMISTOIT,SAARIOINEN EESTI OÜ
1.69,3,TÖÖDELDUD KALATOOTED,KÕRVEKÜLA KALATÖÖSTUSE AS
1.69,2,KÖÖGIVILJAKONSERV,SALVEST AS
0.59,1,PIIMATOOTED,TERE AS
1.49,2,"SINK, VORST",RANNAROOTSI LIHATÖÖSTUS
1.55,1,VÄRSKE KÖÖGIVILI,HISPAANIA
2.19,3,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
1.29,2,KODUKAUBAD,GRIGISKES
0.92,2,KODUKAUBAD,WETTEX
1.35,2,LAHJAD ALKOH.JOOGID,SINEBRYCHOFF AB OY
1.25,1,LIHAKONSERVID,MAAG KONSERVITÖÖSTUS
3.23,3,TÖÖDELDUD KALATOOTED,M.V.WOOL AS
1.53,2,VÄRSKE PUUVILI,PANAMA
2.3,2,KOMMID,AUGUST STORCK KG
0.45,3,KONDIITRITOOTED,FRITO-LAY POLAND
14.99,3,ÕLU,A. LE COQ
3.69,1,KOMMID,FAZER CONFECTINERY
1.19,3,VALMISTOIT,RAKVERE LIHAKOMBINAAT AS
1.99,1,KODUKAUBAD,HUHTAMAKI
0.35,3,PIIMATOOTED,FARMI PIIMATÖÖSTUS AS
0.65,2,"KÜPSISED, VAHVLID",STABURADZES KONDITOREJA SIA
3.65,2,KOSMEETIKA,PROCTER&GAMBLE
0.85,3,"SINK, VORST",RAKVERE LIHAKOMBINAAT AS
0.53,3,JÄÄTIS,INGMAN LEDAI
1.18,3,KALA POOLTOOTED,KRISKAL AS
1.75,3,KOMMID,FAZER CONFECTINERY
1.49,4,KODUKAUBAD,GEORGIA PACIFIC
2.9,3,TUBAKATOOTED,JT INTERNATIONAL
2.09,3,VALMISTOIT,SAAREMAA LIHATÖÖSTUS OÜ
0.65,3,PAGARITOOTED,LEIBUR AS
